,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15815690,614.0,Spain,Female,40,3,113348.5,1,Yes,Yes,77789.01,False
1,15815660,758.0,France,Female,34,1,154139.45,1,Yes,Yes,60728.89,False
2,15815656,541.0,Germany,Female,39,9,100116.67,1,Yes,Yes,199808.1,True
3,15815645,481.0,France,Not specified,37,8,152303.66,2,Yes,Yes,175082.2,False
4,15815628,711.0,France,Female,37,8,113899.92,1,No,No,80215.2,False
5,15815626,640.0,France,Male,63,2,68432.45,2,Yes,Yes,112503.24,True
6,15815615,681.0,France,Male,36,5,141952.07,1,Yes,Yes,185144.08,False
7,15815560,666.0,Germany,Male,74,7,105102.5,1,Yes,Yes,46172.47,False
8,15815552,670.0,France,Female,42,6,112333.63,1,Yes,Yes,65706.86,False
9,15815534,505.0,Spain,Not specified,37,5,134006.39,1,Yes,Yes,93736.69,False
10,15815530,612.0,France,Female,42,10,75497.51,1,No,No,149682.78,False
11,15815490,670.0,Germany,Male,40,2,164948.98,3,No,No,177028.0,True
12,15815443,527.0,Spain,Female,46,10,131414.76,1,Yes,No,54947.51,False
13,15815428,823.0,France,Male,34,3,105057.33,1,Yes,No,100117.00934116713,False
14,15815420,808.0,Spain,Male,47,8,139196.0,2,No,Yes,74028.36,False
15,15815364,736.0,Spain,Female,28,2,0.0,2,Yes,Yes,117431.1,False
16,15815316,644.0,France,Male,50,9,76817.0,4,Yes,No,196371.13,True
17,15815295,662.0,France,Female,38,2,96479.81,1,Yes,No,120259.41,False
18,15815271,755.0,Germany,Male,43,6,165048.5,3,Yes,No,16929.41,True
19,15815259,835.0,France,Female,56,2,0.0,2,Yes,Yes,39820.13,False
20,15815236,574.0,Spain,Male,34,5,0.0,2,No,No,28269.86,False
21,15815131,617.0,Spain,Female,36,7,115617.24,1,Yes,Yes,71519.4,False
22,15815125,668.0,Spain,Male,45,4,102486.21,2,Yes,Yes,158379.25,False
23,15815097,603.0,France,Female,34,9,0.0,2,Yes,No,167916.35,False
24,15815095,850.0,Spain,Male,54,7,108185.81,2,No,No,24093.4,True
25,15815070,566.0,Germany,Female,44,5,141428.99,2,No,No,68408.74,False
26,15815043,645.0,Spain,Male,49,8,0.0,2,Yes,No,162012.6,False
27,15815040,552.0,Germany,Female,42,8,103362.14,1,No,Yes,186869.58,True
28,15814998,688.0,Spain,Male,42,5,0.0,2,No,No,197602.29,False
29,15814940,642.0,Spain,Female,33,9,0.0,2,Yes,Yes,150475.14,False
30,15814930,588.0,Germany,Female,40,10,125534.51,1,Yes,No,121504.18,True
31,15814923,606.0,Spain,Male,38,7,128578.52,1,Yes,Yes,193878.51,False
32,15814846,691.0,France,Male,52,3,0.0,1,Yes,No,175843.68,True
33,15814816,466.0,France,Male,40,4,91592.06,1,Yes,No,141210.18,True
34,15814772,645.0,Germany,Male,49,4,160133.88,2,No,Yes,88391.97,False
35,15814757,477.0,Spain,Male,31,9,0.0,2,No,Yes,184061.17,False
36,15814750,629.0,Spain,Male,34,8,0.0,2,Yes,Yes,180595.02,False
37,15814690,595.0,Germany,Female,64,2,105736.32,1,Yes,Yes,89935.73,True
38,15814675,642.0,Germany,Female,39,8,128264.03,1,Yes,No,61792.76,True
39,15814664,740.0,Germany,Male,33,2,126524.11,1,Yes,No,136869.31,False
40,15814553,559.0,France,Female,34,5,68999.66,2,Yes,Yes,66879.27,False
41,15814536,549.0,France,Male,37,2,112541.54,2,No,No,47432.43,False
42,15814519,648.0,France,Female,37,7,0.0,2,Yes,No,194238.92,False
43,15814468,551.0,Germany,Male,50,1,121399.98,2,No,Yes,84508.44,True
44,15814465,612.0,France,Male,24,1,182705.05,1,Yes,Yes,171837.06,False
45,15814430,747.0,Spain,Male,41,9,0.0,2,Yes,No,32430.94,True
46,15814405,418.0,France,Female,46,9,0.0,1,Yes,Yes,81014.5,True
47,15814331,597.0,Germany,Female,43,7,119127.46,2,Yes,No,55809.92,False
48,15814275,685.0,France,Male,33,6,174912.72,1,Yes,Yes,43932.54,False
49,15814268,444.0,France,Female,40,5,84350.07,1,Yes,No,143835.76,False
50,15814267,550.0,France,Male,22,6,154377.3,1,Yes,Yes,51721.52,False
51,15814237,627.0,Germany,Male,30,3,128770.88,2,Yes,Yes,40199.01,False
52,15814236,537.0,Spain,Female,38,1,96939.06,1,Yes,Yes,102606.92,False
53,15814209,814.0,France,Male,31,1,118870.92,1,Yes,No,101704.19,False
54,15814116,583.0,France,Female,42,7,0.0,2,Yes,No,144039.05,False
55,15814092,626.0,France,Female,44,2,0.0,1,No,Yes,173117.22,True
56,15814040,610.0,France,Female,45,1,0.0,2,Yes,Yes,199657.46,False
57,15814035,601.0,France,Male,29,9,0.0,1,Yes,Yes,80393.27,False
58,15814033,759.0,Spain,Male,38,1,0.0,2,Yes,No,20778.39,False
59,15814032,807.0,Germany,Female,31,1,93460.47,2,No,No,172782.69,False
60,15814022,714.0,France,Female,26,9,89928.99,1,Yes,No,46203.31,False
61,15814004,589.0,France,Male,29,2,0.0,2,No,Yes,98320.27,False
62,15813974,731.0,Germany,Male,37,3,116880.53,1,No,No,172718.35,True
63,15813946,637.0,Germany,Male,51,1,104682.83,1,Yes,No,55266.96,True
64,15813917,653.0,Germany,Male,31,9,143321.97,1,Yes,No,83679.46,False
65,15813916,622.0,France,Female,31,1,89688.94,1,Yes,Yes,152305.47,False
66,15813911,809.0,France,Female,39,5,0.0,1,Yes,No,77705.75,False
67,15813894,620.0,Spain,Male,21,9,0.0,2,No,No,154882.79,False
68,15813871,690.0,France,Male,47,2,0.0,2,Yes,No,151375.73,False
69,15813862,526.0,Spain,Male,66,7,132044.6,2,Yes,Yes,158365.89,False
70,15813850,720.0,France,Male,52,7,0.0,1,Yes,Yes,14781.12,False
71,15813844,703.0,France,Male,37,8,105961.68,2,No,Yes,74158.8,False
